title,rating,year,actors,runtime,url,languages
Laura,8.0,1944,Gene Tierney;Dana Andrews;Clifton Webb;Vincent Price,88,https://www.imdb.com//title/tt0037008/,English
Avontuur op Martinique,7.8,1944,Humphrey Bogart;Lauren Bacall;Walter Brennan;Dolores Moran,100,https://www.imdb.com//title/tt0037382/,English;French
De belhamel,7.8,1944,Heinz Rühmann;Karin Himboldt;Hilde Sessak;Erich Ponto,97,https://www.imdb.com//title/tt0036818/,German
Gaslight,7.8,1944,Charles Boyer;Ingrid Bergman;Joseph Cotten;May Whitty,114,https://www.imdb.com//title/tt0036855/,English;Italian
Les enfants du paradis,8.4,1945,Arletty;Jean-Louis Barrault;Pierre Brasseur;Pierre Renoir,189,https://www.imdb.com//title/tt0037674/,French
Roma città aperta,8.1,1945,Anna Magnani;Aldo Fabrizi;Marcello Pagliero;Vito Annichiarico,103,https://www.imdb.com//title/tt0038890/,Italian;German;Latin
A Tree Grows in Brooklyn,8.0,1945,Dorothy McGuire;Joan Blondell;James Dunn;Lloyd Nolan,129,https://www.imdb.com//title/tt0038190/,English
Brief Encounter,8.0,1945,Celia Johnson;Trevor Howard;Stanley Holloway;Joyce Carey,86,https://www.imdb.com//title/tt0037558/,English;French
Mildred Pierce,8.0,1945,Joan Crawford;Jack Carson;Zachary Scott;Eve Arden,111,https://www.imdb.com//title/tt0037913/,English;French
It's a Wonderful Life,8.6,1946,James Stewart;Donna Reed;Lionel Barrymore;Thomas Mitchell,130,https://www.imdb.com//title/tt0038650/,English;French
De beste jaren van ons leven,8.1,1946,Myrna Loy;Dana Andrews;Fredric March;Teresa Wright,170,https://www.imdb.com//title/tt0036868/,English
Een Zaak van Leven en Dood,8.1,1946,David Niven;Kim Hunter;Robert Coote;Kathleen Byron,104,https://www.imdb.com//title/tt0038733/,English;French;Russian
De schoenpoetsertjes,8.0,1946,Rinaldo Smordoni;Franco Interlenghi;Annielo Mele;Bruno Ortensi,87,https://www.imdb.com//title/tt0038913/,Italian;English
Notorious,8.0,1946,Cary Grant;Ingrid Bergman;Claude Rains;Louis Calhern,102,https://www.imdb.com//title/tt0038787/,English;French;Portuguese
Gangsters vergeten niet,8.0,1947,Robert Mitchum;Jane Greer;Kirk Douglas;Rhonda Fleming,97,https://www.imdb.com//title/tt0039689/,English;American Sign Language
Miracle on 34th Street,7.9,1947,Edmund Gwenn;Maureen O'Hara;John Payne;Gene Lockhart,96,https://www.imdb.com//title/tt0039628/,English;Dutch
Monsieur Verdoux,7.9,1947,Charles Chaplin;Mady Correll;Allison Roddan;Robert Lewis,124,https://www.imdb.com//title/tt0039631/,English
Mrs. Muir ziet spoken,7.9,1947,Gene Tierney;Rex Harrison;George Sanders;Edna Best,104,https://www.imdb.com//title/tt0039420/,English
Black Narcissus,7.8,1947,Deborah Kerr;David Farrar;Flora Robson;Jenny Laird,101,https://www.imdb.com//title/tt0039192/,English
Ladri di biciclette,8.3,1948,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri,89,https://www.imdb.com//title/tt0040522/,Italian;English;German
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett,126,https://www.imdb.com//title/tt0040897/,English;Spanish
The Red Shoes,8.1,1948,Anton Walbrook;Marius Goring;Moira Shearer;Robert Helpmann,135,https://www.imdb.com//title/tt0040725/,English;French;Russian
Brief van een onbekende vrouw,8.0,1948,Joan Fontaine;Louis Jourdan;Mady Christians;Marcel Journet,87,https://www.imdb.com//title/tt0040536/,English
Rope,8.0,1948,James Stewart;John Dall;Farley Granger;Dick Hogan,80,https://www.imdb.com//title/tt0040746/,English
Banshun,8.3,1949,Chishû Ryû;Setsuko Hara;Yumeji Tsukioka;Haruko Sugimura,108,https://www.imdb.com//title/tt0041154/,Japanese
De erfgename,8.2,1949,Olivia de Havilland;Montgomery Clift;Ralph Richardson;Miriam Hopkins,115,https://www.imdb.com//title/tt0041452/,English;French
The Third Man,8.1,1949,Orson Welles;Joseph Cotten;Alida Valli;Trevor Howard,104,https://www.imdb.com//title/tt0041959/,English;German;Russian
White Heat,8.1,1949,James Cagney;Virginia Mayo;Edmond O'Brien;Margaret Wycherly,114,https://www.imdb.com//title/tt0042041/,English
Kind Hearts and Coronets,8.0,1949,Dennis Price;Alec Guinness;Valerie Hobson;Joan Greenwood,106,https://www.imdb.com//title/tt0041546/,English
Sunset Boulevard,8.4,1950,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson,110,https://www.imdb.com//title/tt0043014/,English
Los olvidados,8.3,1950,Alfonso Mejía;Roberto Cobo;Estela Inda;Miguel Inclán,85,https://www.imdb.com//title/tt0042804/,Spanish
All About Eve,8.2,1950,Bette Davis;Anne Baxter;George Sanders;Celeste Holm,138,https://www.imdb.com//title/tt0042192/,English;French
Rashômon,8.2,1950,Toshirô Mifune;Machiko Kyô;Masayuki Mori;Takashi Shimura,88,https://www.imdb.com//title/tt0042876/,Japanese
Orphée,8.0,1950,Jean Marais;François Périer;María Casares;Marie Déa,112,https://www.imdb.com//title/tt0041719/,French
Early Summer,8.2,1951,Setsuko Hara;Chishû Ryû;Chikage Awashima;Kuniko Miyake,125,https://www.imdb.com//title/tt0043313/,Japanese;English
Het grote carnaval,8.1,1951,Kirk Douglas;Jan Sterling;Robert Arthur;Porter Hall,111,https://www.imdb.com//title/tt0043338/,English;Spanish;Latin
Scrooge,8.1,1951,Alastair Sim;Jack Warner;Kathleen Harrison;Mervyn Johns,86,https://www.imdb.com//title/tt0044008/,English
A Streetcar Named Desire,8.0,1951,Vivien Leigh;Marlon Brando;Kim Hunter;Karl Malden,122,https://www.imdb.com//title/tt0044081/,English;Spanish
De maniak,8.0,1951,Farley Granger;Robert Walker;Ruth Roman;Leo G. Carroll,101,https://www.imdb.com//title/tt0044079/,English;French
Ikiru,8.3,1952,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori;Haruo Tanaka,143,https://www.imdb.com//title/tt0044741/,Japanese
Singin' in the Rain,8.3,1952,Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen,103,https://www.imdb.com//title/tt0045152/,English
Umberto D.,8.2,1952,Carlo Battisti;Maria Pia Casilio;Lina Gennari;Ileana Simova,89,https://www.imdb.com//title/tt0045274/,Italian
Jeux interdits,8.1,1952,Georges Poujouly;Brigitte Fossey;Amédée;Laurence Badie,86,https://www.imdb.com//title/tt0043686/,French
Limelight,8.1,1952,Charles Chaplin;Claire Bloom;Nigel Bruce;Buster Keaton,137,https://www.imdb.com//title/tt0044837/,English
Tôkyô monogatari,8.2,1953,Chishû Ryû;Chieko Higashiyama;Sô Yamamura;Setsuko Hara,136,https://www.imdb.com//title/tt0046438/,Japanese;English
Ugetsu monogatari,8.2,1953,Masayuki Mori;Machiko Kyô;Kinuyo Tanaka;Mitsuko Mito,96,https://www.imdb.com//title/tt0046478/,Japanese
Het loon van de Angst,8.1,1953,Yves Montand;Charles Vanel;Peter van Eyck;Folco Lulli,131,https://www.imdb.com//title/tt0046268/,French;English;Spanish;German;Italian;Russian
Madame de...,8.0,1953,Charles Boyer;Danielle Darrieux;Vittorio De Sica;Jean Debucourt,105,https://www.imdb.com//title/tt0046022/,French;Turkish
Roman Holiday,8.0,1953,Gregory Peck;Audrey Hepburn;Eddie Albert;Hartley Power,118,https://www.imdb.com//title/tt0046250/,English;Italian;German
Shichinin no samurai,8.6,1954,Toshirô Mifune;Takashi Shimura;Keiko Tsushima;Yukiko Shimazaki,207,https://www.imdb.com//title/tt0047478/,Japanese
Rear Window,8.5,1954,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter,112,https://www.imdb.com//title/tt0047396/,English
Sanshô dayû,8.4,1954,Kinuyo Tanaka;Yoshiaki Hanayagi;Kyôko Kagawa;Eitarô Shindô,124,https://www.imdb.com//title/tt0047445/,Japanese
Dial M for Murder,8.2,1954,Ray Milland;Grace Kelly;Robert Cummings;John Williams,105,https://www.imdb.com//title/tt0046912/,English
On the Waterfront,8.1,1954,Marlon Brando;Karl Malden;Lee J. Cobb;Rod Steiger,108,https://www.imdb.com//title/tt0047296/,English
Pather Panchali,8.5,1955,Kanu Bannerjee;Karuna Bannerjee;Subir Banerjee;Chunibala Devi,125,https://www.imdb.com//title/tt0048473/,Bengali
Ordet,8.3,1955,Henrik Malberg;Emil Hass Christensen;Preben Lerdorff Rye;Hanne Aagesen,126,https://www.imdb.com//title/tt0048452/,Danish
Demonen,8.1,1955,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel,117,https://www.imdb.com//title/tt0046911/,French;English
Du rififi chez les hommes,8.1,1955,Jean Servais;Carl Möhner;Robert Manuel;Janine Darcey,118,https://www.imdb.com//title/tt0048021/,French;Italian;English
The Night of the Hunter,8.0,1955,Robert Mitchum;Shelley Winters;Lillian Gish;James Gleason,92,https://www.imdb.com//title/tt0048424/,English
Aparajito,8.3,1956,Pinaki Sengupta;Smaran Ghosal;Kamala Adhikari;Lalchand Banerjee,110,https://www.imdb.com//title/tt0048956/,Bengali
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier;Charles Le Clainche;Maurice Beerblock;Roland Monod,101,https://www.imdb.com//title/tt0049902/,French;German
Biruma no tategoto,8.1,1956,Rentarô Mikuni;Shôji Yasui;Tatsuya Mihashi;Jun Hamamura,116,https://www.imdb.com//title/tt0049012/,Japanese;English;Burmese
The Killing,8.0,1956,Sterling Hayden;Coleen Gray;Vince Edwards;Jay C. Flippen,84,https://www.imdb.com//title/tt0049406/,English
De Tien Geboden,7.9,1956,Charlton Heston;Yul Brynner;Anne Baxter;Edward G. Robinson,220,https://www.imdb.com//title/tt0049833/,English
De 12 gezworenen,9.0,1957,Henry Fonda;Lee J. Cobb;Martin Balsam;John Fiedler,96,https://www.imdb.com//title/tt0050083/,English
Pyaasa,8.5,1957,Guru Dutt;Waheeda Rehman;Mala Sinha;Rehman,146,https://www.imdb.com//title/tt0050870/,Hindi
Het veld van eer,8.4,1957,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready,88,https://www.imdb.com//title/tt0050825/,English;German;Latin
Witness for the Prosecution,8.4,1957,Tyrone Power;Marlene Dietrich;Charles Laughton;Elsa Lanchester,116,https://www.imdb.com//title/tt0051201/,English;German
Letyat zhuravli,8.3,1957,Tatyana Samoylova;Aleksey Batalov;Vasiliy Merkurev;Aleksandr Shvorin,95,https://www.imdb.com//title/tt0050634/,Russian
Vertigo,8.3,1958,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore,128,https://www.imdb.com//title/tt0052357/,English
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune;Misa Uehara;Minoru Chiaki;Kamatari Fujiwara,139,https://www.imdb.com//title/tt0051808/,Japanese
De lift naar het schavot,8.0,1958,Jeanne Moreau;Maurice Ronet;Georges Poujouly;Yori Bertin,91,https://www.imdb.com//title/tt0051378/,French;German
