title,rating,year,actors,runtime,url
Gangsters vergeten niet,8.0,1947,Robert Mitchum;Jane Greer;Kirk Douglas;Rhonda Fleming,97,https://www.imdb.com//title/tt0039689/
Miracle on 34th Street,7.9,1947,Edmund Gwenn;Maureen O'Hara;John Payne;Gene Lockhart,96,https://www.imdb.com//title/tt0039628/
Monsieur Verdoux,7.9,1947,Charles Chaplin;Mady Correll;Allison Roddan;Robert Lewis,124,https://www.imdb.com//title/tt0039631/
Ladri di biciclette,8.3,1948,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri,89,https://www.imdb.com//title/tt0040522/
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart;Walter Huston;Tim Holt;Bruce Bennett,126,https://www.imdb.com//title/tt0040897/
The Red Shoes,8.1,1948,Anton Walbrook;Marius Goring;Moira Shearer;Robert Helpmann,135,https://www.imdb.com//title/tt0040725/
Banshun,8.3,1949,Chishû Ryû;Setsuko Hara;Yumeji Tsukioka;Haruko Sugimura,108,https://www.imdb.com//title/tt0041154/
De erfgename,8.2,1949,Olivia de Havilland;Montgomery Clift;Ralph Richardson;Miriam Hopkins,115,https://www.imdb.com//title/tt0041452/
The Third Man,8.1,1949,Orson Welles;Joseph Cotten;Alida Valli;Trevor Howard,104,https://www.imdb.com//title/tt0041959/
Sunset Boulevard,8.4,1950,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson,110,https://www.imdb.com//title/tt0043014/
Los olvidados,8.3,1950,Alfonso Mejía;Roberto Cobo;Estela Inda;Miguel Inclán,85,https://www.imdb.com//title/tt0042804/
All About Eve,8.2,1950,Bette Davis;Anne Baxter;George Sanders;Celeste Holm,138,https://www.imdb.com//title/tt0042192/
Early Summer,8.2,1951,Setsuko Hara;Chishû Ryû;Chikage Awashima;Kuniko Miyake,125,https://www.imdb.com//title/tt0043313/
Het grote carnaval,8.1,1951,Kirk Douglas;Jan Sterling;Robert Arthur;Porter Hall,111,https://www.imdb.com//title/tt0043338/
Scrooge,8.1,1951,Alastair Sim;Jack Warner;Kathleen Harrison;Mervyn Johns,86,https://www.imdb.com//title/tt0044008/
Ikiru,8.3,1952,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori;Haruo Tanaka,143,https://www.imdb.com//title/tt0044741/
Singin' in the Rain,8.3,1952,Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen,103,https://www.imdb.com//title/tt0045152/
Umberto D.,8.2,1952,Carlo Battisti;Maria Pia Casilio;Lina Gennari;Ileana Simova,89,https://www.imdb.com//title/tt0045274/
Tôkyô monogatari,8.2,1953,Chishû Ryû;Chieko Higashiyama;Sô Yamamura;Setsuko Hara,136,https://www.imdb.com//title/tt0046438/
Ugetsu monogatari,8.2,1953,Masayuki Mori;Machiko Kyô;Kinuyo Tanaka;Mitsuko Mito,96,https://www.imdb.com//title/tt0046478/
Het loon van de Angst,8.1,1953,Yves Montand;Charles Vanel;Peter van Eyck;Folco Lulli,131,https://www.imdb.com//title/tt0046268/
Shichinin no samurai,8.6,1954,Toshirô Mifune;Takashi Shimura;Keiko Tsushima;Yukiko Shimazaki,207,https://www.imdb.com//title/tt0047478/
Rear Window,8.5,1954,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter,112,https://www.imdb.com//title/tt0047396/
Sanshô dayû,8.4,1954,Kinuyo Tanaka;Yoshiaki Hanayagi;Kyôko Kagawa;Eitarô Shindô,124,https://www.imdb.com//title/tt0047445/
Pather Panchali,8.5,1955,Kanu Bannerjee;Karuna Bannerjee;Subir Banerjee;Chunibala Devi,125,https://www.imdb.com//title/tt0048473/
Ordet,8.3,1955,Henrik Malberg;Emil Hass Christensen;Preben Lerdorff Rye;Hanne Aagesen,126,https://www.imdb.com//title/tt0048452/
Demonen,8.1,1955,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel,117,https://www.imdb.com//title/tt0046911/
Aparajito,8.3,1956,Pinaki Sengupta;Smaran Ghosal;Kamala Adhikari;Lalchand Banerjee,110,https://www.imdb.com//title/tt0048956/
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier;Charles Le Clainche;Maurice Beerblock;Roland Monod,101,https://www.imdb.com//title/tt0049902/
Biruma no tategoto,8.1,1956,Rentarô Mikuni;Shôji Yasui;Tatsuya Mihashi;Jun Hamamura,116,https://www.imdb.com//title/tt0049012/
De 12 gezworenen,9.0,1957,Henry Fonda;Lee J. Cobb;Martin Balsam;John Fiedler,96,https://www.imdb.com//title/tt0050083/
Pyaasa,8.5,1957,Guru Dutt;Waheeda Rehman;Mala Sinha;Rehman,146,https://www.imdb.com//title/tt0050870/
Het veld van eer,8.4,1957,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready,88,https://www.imdb.com//title/tt0050825/
Vertigo,8.3,1958,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore,128,https://www.imdb.com//title/tt0052357/
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune;Misa Uehara;Minoru Chiaki;Kamatari Fujiwara,139,https://www.imdb.com//title/tt0051808/
De lift naar het schavot,8.0,1958,Jeanne Moreau;Maurice Ronet;Georges Poujouly;Yori Bertin,91,https://www.imdb.com//title/tt0051378/
Apur Sansar,8.5,1959,Soumitra Chatterjee;Sharmila Tagore;Alok Chakravarty;Swapan Mukherjee,105,https://www.imdb.com//title/tt0052572/
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Chikage Awashima;Ineko Arima,208,https://www.imdb.com//title/tt0053114/
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Kokinji Katsura;Jun Tatara,181,https://www.imdb.com//title/tt0053115/
Le trou,8.5,1960,André Bervil;Jean Keraudy;Michel Constantin;Philippe Leroy,131,https://www.imdb.com//title/tt0054407/
Psycho,8.5,1960,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,109,https://www.imdb.com//title/tt0054215/
Het appartement,8.3,1960,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston,125,https://www.imdb.com//title/tt0053604/
Ningen no jôken,8.8,1961,Tatsuya Nakadai;Michiyo Aratama;Tamao Nakamura;Yûsuke Kawazu,190,https://www.imdb.com//title/tt0055233/
Oordeel te Neurenberg,8.2,1961,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,179,https://www.imdb.com//title/tt0055031/
Yôjinbô,8.2,1961,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai;Yôko Tsukasa,110,https://www.imdb.com//title/tt0055630/
Seppuku,8.6,1962,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,133,https://www.imdb.com//title/tt0056058/
Il sorpasso,8.3,1962,Vittorio Gassman;Jean-Louis Trintignant;Catherine Spaak;Claudio Gora,105,https://www.imdb.com//title/tt0056512/
Lawrence of Arabia,8.3,1962,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins,228,https://www.imdb.com//title/tt0056172/
Tengoku to jigoku,8.4,1963,Toshirô Mifune;Yutaka Sada;Tatsuya Nakadai;Kyôko Kagawa,143,https://www.imdb.com//title/tt0057565/
The Great Escape,8.2,1963,Steve McQueen;James Garner;Richard Attenborough;Charles Bronson,172,https://www.imdb.com//title/tt0057115/
Nattvardsgästerna,8.1,1963,Ingrid Thulin;Gunnar Björnstrand;Gunnel Lindblom;Max von Sydow,81,https://www.imdb.com//title/tt0057358/
De vrouw in het zand,8.5,1964,Eiji Okada;Kyôko Kishida;Hiroko Itô;Kôji Mitsui,147,https://www.imdb.com//title/tt0058625/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn,95,https://www.imdb.com//title/tt0057012/
Charulata,8.2,1964,Soumitra Chatterjee;Madhabi Mukherjee;Shailen Mukherjee;Shyamal Ghoshal,117,https://www.imdb.com//title/tt0057935/
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Aleksandr Demyanenko;Mikhail Pugovkin;Aleksei Smirnov;Vladimir Basov,91,https://www.imdb.com//title/tt0059550/
Akahige,8.4,1965,Toshirô Mifune;Yûzô Kayama;Tsutomu Yamazaki;Reiko Dan,185,https://www.imdb.com//title/tt0058888/
Guide,8.4,1965,Dev Anand;Waheeda Rehman;Leela Chitnis;Anwar Hussain,183,https://www.imdb.com//title/tt0059246/
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood;Eli Wallach;Lee Van Cleef;Aldo Giuffrè,161,https://www.imdb.com//title/tt0060196/
Andrei Rublev,8.1,1966,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev,205,https://www.imdb.com//title/tt0060107/
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy;Oleg Efremov;Lyubov Dobrzhanskaya;Olga Aroseva,94,https://www.imdb.com//title/tt0060161/
Jôi-uchi: Hairyô tsuma shimatsu,8.4,1967,Toshirô Mifune;Yôko Tsukasa;Gô Katô;Tatsuyoshi Ehara,128,https://www.imdb.com//title/tt0061847/
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko;Natalya Varley;Vladimir Etush;Frunzik Mkrtchyan,82,https://www.imdb.com//title/tt0060584/
Cool Hand Luke,8.1,1967,Paul Newman;George Kennedy;Strother Martin;J.D. Cannon,127,https://www.imdb.com//title/tt0061512/
Once Upon a Time in the West,8.5,1968,Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,165,https://www.imdb.com//title/tt0064116/
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,149,https://www.imdb.com//title/tt0062622/
Padosan,8.1,1968,Sunil Dutt;Saira Banu;Mehmood;Kishore Kumar,157,https://www.imdb.com//title/tt0063404/
A tanú,8.7,1969,Ferenc Kállai;Lajos Öze;Béla Both;Zoltán Fábri,105,https://www.imdb.com//title/tt0065067/
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin;Nina Grebeshkova;Andrey Mironov;Anatoliy Papanov,100,https://www.imdb.com//title/tt0062759/
Z,8.3,1969,Yves Montand;Irene Papas;Jean-Louis Trintignant;François Périer,127,https://www.imdb.com//title/tt0065234/
De dader staat boven verdenking,8.1,1970,Gian Maria Volontè;Florinda Bolkan;Gianni Santuccio;Orazio Orlando,115,https://www.imdb.com//title/tt0065889/
De Rode Cirkel,8.0,1970,Alain Delon;Bourvil;Gian Maria Volontè;Yves Montand,140,https://www.imdb.com//title/tt0065531/
Il conformista,8.0,1970,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Enzo Tarascio,113,https://www.imdb.com//title/tt0065571/
Dzhentlmeny udachi,8.5,1971,Evgeniy Leonov;Georgiy Vitsin;Saveliy Kramarov;Radner Muratov,88,https://www.imdb.com//title/tt0068519/
De Laatste Kruistocht,8.4,1971,Amza Pellea;Ion Besoiu;Olga Tudorache;Irina Gardescu,203,https://www.imdb.com//title/tt0066078/
12 stulev,8.3,1971,Archil Gomiashvili;Sergey Filippov;Mikhail Pugovkin;Glikeriya Bogdanova-Chesnokova,159,https://www.imdb.com//title/tt0065670/
The Godfather,9.2,1972,Marlon Brando;Al Pacino;James Caan;Diane Keaton,175,https://www.imdb.com//title/tt0068646/
Schreeuw zonder antwoord,8.1,1972,Harriet Andersson;Liv Ullmann;Kari Sylwan;Ingrid Thulin,91,https://www.imdb.com//title/tt0069467/
Solaris,8.1,1972,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy,167,https://www.imdb.com//title/tt0069293/
Canim Kardesim,8.7,1973,Tarik Akan;Kahraman Kiral;Halit Akçatepe;Metin Akpinar,92,https://www.imdb.com//title/tt0267351/
Ivan Vasilevich menyaet professiyu,8.4,1973,Yuriy Yakovlev;Leonid Kuravlyov;Aleksandr Demyanenko;Saveliy Kramarov,93,https://www.imdb.com//title/tt0070233/
The Sting,8.3,1973,Paul Newman;Robert Redford;Robert Shaw;Charles Durning,129,https://www.imdb.com//title/tt0070735/
The Godfather: Part II,9.0,1974,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,202,https://www.imdb.com//title/tt0071562/
Scener ur ett äktenskap,8.4,1974,Liv Ullmann;Erland Josephson;Bibi Andersson;Gunnel Lindblom,169,https://www.imdb.com//title/tt6725014/
Köyden Indim Sehire,8.3,1974,Kemal Sunal;Meral Zeren;Zeki Alasya;Metin Akpinar,77,https://www.imdb.com//title/tt0252619/
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,87,https://www.imdb.com//title/tt0252487/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson;Louise Fletcher;Michael Berryman;Peter Brocco,133,https://www.imdb.com//title/tt0073486/
Flåklypa Grand Prix,8.5,1975,Wenche Foss;Per Theodor Haugen;Harald Heide-Steen Jr.;Leif Juster,88,https://www.imdb.com//title/tt0073000/
Al-risâlah,9.0,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,207,https://www.imdb.com//title/tt0075143/
Tosun Pasa,9.0,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,90,https://www.imdb.com//title/tt0253828/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,91,https://www.imdb.com//title/tt0252488/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin;Tuncay Akça;Halit Akçatepe;Sitki Akçatepe,94,https://www.imdb.com//title/tt0252490/
Hababam Sinifi Tatilde,8.7,1977,Sevda Aktolga;Ahmet Ariman;Filiz Bozkurt;Aysen Gruda,97,https://www.imdb.com//title/tt0252489/
Saban Oglu Saban,8.7,1977,Kemal Sunal;Halit Akçatepe;Sener Sen;Sevda Aktolga,90,https://www.imdb.com//title/tt0253614/
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,83,https://www.imdb.com//title/tt0252597/
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92,https://www.imdb.com//title/tt0765833/
Selvi Boylum Al Yazmalim,8.6,1978,Türkan Soray;Kadir Inanir;Ahmet Mekin;Hülya Tuglu,90,https://www.imdb.com//title/tt0263975/
Golmaal,8.5,1979,Amol Palekar;Bindiya Goswami;Deven Verma;Shubha Khote,120,https://www.imdb.com//title/tt0079221/
Alien,8.4,1979,Sigourney Weaver;Tom Skerritt;John Hurt;Veronica Cartwright,117,https://www.imdb.com//title/tt0078748/
Apocalypse Now,8.4,1979,Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest,147,https://www.imdb.com//title/tt0078788/
Ko to tamo peva,8.8,1980,Pavle Vuisic;Dragan Nikolic;Danilo 'Bata' Stojkovic;Aleksandar Bercek,86,https://www.imdb.com//title/tt0076276/
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,124,https://www.imdb.com//title/tt0080684/
Zübük,8.6,1980,Kemal Sunal;Nevra Serezli;Kadir Savun;Bülent Kayabas,88,https://www.imdb.com//title/tt0253991/
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,115,https://www.imdb.com//title/tt0082971/
Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,149,https://www.imdb.com//title/tt0082096/
